study,question,metric,scope,value,unit,source
2,oracle ceiling,confidence baseline,"CIFAR-100, 90 seed pairs, rho=0.80",62.39,%,s2_true_oracle.csv
2,oracle ceiling,full compute,"CIFAR-100, 90 seed pairs, rho=0.80",71.21,%,s2_true_oracle.csv
2,oracle ceiling,"oracle, in-seed","CIFAR-100, 90 seed pairs, rho=0.80",78.3,%,s2_true_oracle.csv
2,oracle ceiling,"oracle, cross-seed","CIFAR-100, 90 seed pairs, rho=0.80",54.5,%,s2_true_oracle.csv
2,oracle ceiling,in-seed - baseline,"CIFAR-100, 90 seed pairs, rho=0.80",12.2,pt,s2_true_oracle.csv
2,oracle ceiling,cross-seed - baseline,"CIFAR-100, 90 seed pairs, rho=0.80",-7.9,pt,s2_true_oracle.csv
2,oracle ceiling,optimism bias,"CIFAR-100, 90 seed pairs, rho=0.80",22.41,pt,s2_true_oracle.csv
2,oracle ceiling,early-right/final-wrong pool,"CIFAR-100, 90 seed pairs, rho=0.80",6.86,pt,s2_true_oracle.csv
2,oracle ceiling,oracle ABOVE own full-compute accuracy,90/90 runs,6.86,pt,s2_true_oracle.csv
2,reliability atlas,rho_seed range across the grid,15 archs x 5 scores,0.667,rho,s2_reliability_grid.csv
2,reliability atlas,rho_seed minimum,mixer_nano / entropy,0.207,rho,s2_reliability_grid.csv
2,reliability atlas,rho_seed maximum,mobilenetv2 / ce_loss,0.874,rho,s2_reliability_grid.csv
2,memorisation collapse,"Spearman(softmax saturation, rho_seed drop)",15 architectures,0.832,rho,s2_memorisation.csv
2,memorisation collapse,"Spearman(train accuracy, rho_seed drop)",15 architectures,0.746,rho,s2_memorisation.csv
2,memorisation collapse,"Spearman(TEST accuracy (control), rho_seed drop)",15 architectures,-0.114,rho,s2_memorisation.csv
2,memorisation collapse,"largest rho_seed drop, test -> train_holdout",convnext_femto,0.558,rho,s2_memorisation.csv
3,Q1 joint exits,"excess, resnet20",frozen,6.69,pt,s3_q1_comparison.csv
3,Q1 joint exits,"excess, resnet20",JOINT,10.64,pt,s3_q1_comparison.csv
3,Q1 joint exits,"excess, resnet32x4",frozen,6.42,pt,s3_q1_comparison.csv
3,Q1 joint exits,"excess, resnet32x4",JOINT,8.55,pt,s3_q1_comparison.csv
3,Q1 joint exits,"excess, vgg8",frozen,7.95,pt,s3_q1_comparison.csv
3,Q1 joint exits,"excess, vgg8",JOINT,9.15,pt,s3_q1_comparison.csv
3,Q1 joint exits,H1: excess >= 2.0 pt under joint training,3/3 architectures,9.15,pt,s3_q1_comparison.csv
3,Q1 joint exits,change frozen -> joint (raw median),3 architectures,2.13,pt,s3_q1_comparison.csv
3,Q2 learned router,"capture fraction, in-seed","3 architectures, rho=0.80",2.36,%,s3_router_capture.csv
3,Q2 learned router,"capture fraction, cross-seed","3 architectures, rho=0.80",1.73,%,s3_router_capture.csv
3,Q2 learned router,oracle gap available to be captured,median over architectures,11.62,pt,s3_router_capture.csv
3,Q3 pruning,"target accuracy, rand",keep 30%,19.16,%,s3_pruning.csv
3,Q3 pruning,"target accuracy, sat",keep 30%,16.46,%,s3_pruning.csv
3,Q3 pruning,"target accuracy, uns",keep 30%,7.92,%,s3_pruning.csv
3,Q3 pruning,"target accuracy, rand",keep 50%,25.58,%,s3_pruning.csv
3,Q3 pruning,"target accuracy, sat",keep 50%,25.05,%,s3_pruning.csv
3,Q3 pruning,"target accuracy, uns",keep 50%,14.76,%,s3_pruning.csv
3,Q3 pruning,"target accuracy, full",keep 100%,70.24,%,s3_pruning.csv
